,Name,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Ingredient
0,D's Famous Salsa,16,0.1g,0.0g,0mg,283mg,120mg,3.9g,0.7g,0.6g,2g,140IU,7mg,20mg,1mg,0mg,0mg,0mg,7mg,4mcg,"[' 2 (14.5 ounce) cans stewed tomatoes', ' 1/2 onion, finely diced', ' 1 teaspoon minced garlic', ' 1/2 lime, juiced', ' 1 teaspoon salt', ' 1/4 cup canned sliced green chiles, or to taste', ' 3 tablespoons chopped fresh cilantro']"
1,Pineapple Sticky Ribs,558,29.5g,11.0g,117mg,919mg,467mg,49.6g,0.8g,25.5g,36g,173IU,11mg,73mg,2mg,0mg,9mg,0mg,37mg,8mcg,"[' 3 pounds pork back ribs, separated and fat trimmed', ' 1 (12.5 ounce) can pineapple tidbits, drained', ' 1 cup apricot jam', ' 1/4 cup soy sauce', ' 2 tablespoons white wine vinegar', ' 2 tablespoons brown sugar', ' 2 cloves garlic, minced', ' 1 teaspoon ground ginger', ' 1/2 teaspoon salt', ' 1/2 teaspoon ground black pepper', ' 1/4 teaspoon cayenne pepper']"
2,Key West Chicken,184,6.2g,1.0g,67mg,735mg,235mg,5.6g,0.1g,25.3g,5g,17IU,1mg,16mg,1mg,0mg,16mg,1mg,28mg,5mcg,"[' 3 tablespoons soy sauce', ' 1 tablespoon honey', ' 1 tablespoon vegetable oil', ' 1 teaspoon lime juice', ' 1 teaspoon chopped garlic', ' 4 skinless, boneless chicken breast halves']"
3,Roasted Brussels Sprouts,104,7.3g,1.0g,0mg,344mg,362mg,10g,3g,2.9g,5g,817IU,70mg,42mg,1mg,0mg,1mg,0mg,23mg,68mcg,"[' 1 1/2 pounds Brussels sprouts, ends trimmed and yellow leaves removed', ' 3 tablespoons olive oil', ' 1 teaspoon kosher salt', ' 1/2 teaspoon freshly ground black pepper']"
4,Spicy Vegan Potato Curry,407,20.1g,13.0g,0mg,1176mg,1090mg,50.6g,10.1g,10.1g,6g,1069IU,44mg,107mg,7mg,0mg,4mg,1mg,98mg,94mcg,"[' 4 potatoes, peeled and cubed', ' 2 tablespoons vegetable oil', ' 1 yellow onion, diced', ' 3 cloves garlic, minced', ' 2 teaspoons ground cumin', ' 1 1/2 teaspoons cayenne pepper', ' 4 teaspoons curry powder', ' 4 teaspoons garam masala', ' 1 (1 inch) piece fresh ginger root, peeled and minced', ' 2 teaspoons salt', ' 1 (14.5 ounce) can diced tomatoes', ' 1 (15 ounce) can garbanzo beans (chickpeas), rinsed and drained', ' 1 (15 ounce) can peas, drained', ' 1 (14 ounce) can coconut milk']"
5,Quinoa and Black Bean Chili,233,3.5g,0.0g,0mg,540mg,828mg,42g,11.8g,11.5g,2g,1369IU,41mg,94mg,5mg,0mg,5mg,0mg,101mg,128mcg,"[' 1 cup uncooked quinoa, rinsed', ' 2 cups water', ' 1 tablespoon vegetable oil', ' 1 onion, chopped', ' 4 cloves garlic, chopped', ' 1 tablespoon chili powder', ' 1 tablespoon ground cumin', ' 1 (28 ounce) can crushed tomatoes', ' 2 (19 ounce) cans black beans, rinsed and drained', ' 1 green bell pepper, chopped', ' 1 red bell pepper, chopped', ' 1 zucchini, chopped', ' 1 jalapeno pepper, seeded and minced', ' 1 tablespoon minced chipotle peppers in adobo sauce', ' 1 teaspoon dried oregano', ' salt and ground black pepper to taste', ' 1 cup frozen corn', ' 1/4 cup chopped fresh cilantro']"
6,Simple Roasted Butternut Squash,177,7g,1.0g,0mg,11mg,905mg,30.3g,5.1g,2.6g,6g,27146IU,54mg,125mg,2mg,0mg,4mg,0mg,87mg,69mcg,"[' 1 butternut squash - peeled, seeded, and cut into 1-inch cubes', ' 2 tablespoons olive oil', ' 2 cloves garlic, minced', ' salt and ground black pepper to taste']"
7,Chicken Parmesan,471,24.9g,9.0g,187mg,840mg,389mg,24.8g,0.6g,42.1g,2g,628IU,3mg,380mg,2mg,0mg,19mg,1mg,44mg,31mcg,"[' 4 skinless, boneless chicken breast halves', ' salt and freshly ground black pepper to taste', ' 2 eggs', ' 1 cup panko bread crumbs, or more as needed', ' 1/2 cup grated Parmesan cheese', ' 2 tablespoons all-purpose flour, or more if needed', ' 1 cup olive oil for frying', ' 1/2 cup prepared tomato sauce', ' 1/4 cup fresh mozzarella, cut into small cubes', ' 1/4 cup chopped fresh basil', ' 1/2 cup grated provolone cheese', ' 1/4 cup grated Parmesan cheese', ' 1 tablespoon olive oil']"
8,Maple Salmon,265,12.4g,2.0g,67mg,633mg,473mg,14.1g,0.1g,23.2g,12g,57IU,5mg,30mg,1mg,0mg,13mg,1mg,38mg,31mcg,"[' 1/4 cup maple syrup', ' 2 tablespoons soy sauce', ' 1 clove garlic, minced', ' 1/4 teaspoon garlic salt', ' 1/8 teaspoon ground black pepper', ' 1 pound salmon']"
9,Grilled Bacon-Wrapped Corn on the Cob,285,21.5g,7.0g,31mg,423mg,338mg,17.5g,2.4g,8.2g,3g,185IU,6mg,5mg,1mg,0mg,4mg,0mg,39mg,42mcg,"[' 10 ears corn, husked and cleaned', ' Cajun seasoning to taste', ' salt and black pepper to taste', ' 1 (1 pound) package sliced bacon', ' 10 12x8-inch sheets aluminum foil']"
